conference_topic,journal,extracted_concept
"Added products and energy recovery from biomass wastes, i.e., sludges, agro",bioenergy,energy recovery
"Added products and energy recovery from biomass wastes, i.e., sludges, agro",bioenergy,biomass
Economic assessment of some digestate treatments techniques is also included in the scope.,bioenergy,economic assessment
Economic assessment of some digestate treatments techniques is also included in the scope.,bioenergy,digestate treatment
Sustainability: sustainable land use and ecosystem management,bioenvironmental systems,sustainable land use
Sustainability: sustainable land use and ecosystem management,bioenvironmental systems,ecosystem management
Environments: consideration of ecosystem services and function for sustainable water use,bioenvironmental systems,ecosystem services
Environments: consideration of ecosystem services and function for sustainable water use,bioenvironmental systems,water resources
"Environments: soil and water contamination, remediation and conservation",bioenvironmental systems,soil remediation
"Environments: soil and water contamination, remediation and conservation",bioenvironmental systems,water remediation
"Environments: soil and water contamination, remediation and conservation",bioenvironmental systems,water contamination
"Environments: soil and water contamination, remediation and conservation",bioenvironmental systems,soil contamination
Environments: impacts of agricultural land use changes on environments,bioenvironmental systems,agricultural land use
Environments: technologies for sustainable environmental systems,bioenvironmental systems,environmental technologies
Environments: geospatial technology for land restoration and planning,bioenvironmental systems,land restoration
Environments: geospatial technology for land restoration and planning,bioenvironmental systems,geospatial technology
Environments: landscape ecological and social–ecological approaches in agro-ecological system,bioenvironmental systems,social-ecological systems
Environments: landscape ecological and social–ecological approaches in agro-ecological system,bioenvironmental systems,landscape ecology
Environments: deployment of green technologies for sustainable environment,bioenvironmental systems,green technologies
Environments: impacts of climate change on the water–energy–food nexus,bioenvironmental systems,water-energy-food nexus
Environments: impacts of climate change on the water–energy–food nexus,bioenvironmental systems,climate change
Theme 2 (waste-to-resource),bioenvironmental systems,waste management
Theme 2 (waste-to-resource),bioenvironmental systems,resource recovery
Theme 3 (healthy watershed),bioenvironmental systems,environmental health
Theme 3 (healthy watershed),bioenvironmental systems,watershed management
Biogeography of aquatic organisms,biogeography,biogeography
Biogeography of aquatic organisms,biogeography,aquatic biology
Integrate spatial and temporal facets of predictions at large scales,biogeography,temporal ecology
Integrate spatial and temporal facets of predictions at large scales,biogeography,spatial ecology
Incorporate evolutionary dynamics or theories within a macroecological framework,biogeography,evolutionary dynamics
Incorporate evolutionary dynamics or theories within a macroecological framework,biogeography,evolutionary biology
Incorporate evolutionary dynamics or theories within a macroecological framework,biogeography,macroecology
Use citizen science at large scales to study or solve applied biogeographic questions,biogeography,citizen science
Use citizen science at large scales to study or solve applied biogeographic questions,biogeography,applied biogeography
Cell proteomics,biological mass spectrometry,proteomics
Glycoproteomics,biological mass spectrometry,glycoproteomics
Ion mobility ms,biological mass spectrometry,ion mobility spectrometry
Native ms,biological mass spectrometry,native mass spectrometry
Protein o-glcnacylation,biological mass spectrometry,protein glycosylation
Protein o-glcnacylation,biological mass spectrometry,glycobiology
Protein n-galnacylation,biological mass spectrometry,protein glycosylation
Protein n-galnacylation,biological mass spectrometry,glycobiology
Biomanufacturing infrastructure for expansion and scaling,biomanufacturing,biomanufacturing
Advanced biomanufacturing technologies,biomanufacturing,biomanufacturing
Ai innovations for biomanufacturing,biomanufacturing,artificial intelligence
Ai innovations for biomanufacturing,biomanufacturing,biomanufacturing
Machine learning and artificial intelligence-aided bioprocess optimization,biomanufacturing,machine learning
Machine learning and artificial intelligence-aided bioprocess optimization,biomanufacturing,artificial intelligence
Robotics in bio-manufacturing,biomanufacturing,robotics
Robotics in bio-manufacturing,biomanufacturing,biomanufacturing
Microbial consortia and co-cultures in bioprocessing,biomanufacturing,microbial consortia
Industrial applications of microbial bioprocessing,biomanufacturing,industrial microbiology
Industrial applications of microbial bioprocessing,biomanufacturing,microbial bioprocessing
Bioenergy,biomass utilization,bioenergy
Biomaterials,biomass utilization,biomaterials
Advancements in additive manufacturing and biomaterials for next-gen biosensing technologies,biomaterials,biosensing
Advancements in additive manufacturing and biomaterials for next-gen biosensing technologies,biomaterials,additive manufacturing
Biomaterials for theranostics and tissue engineering,biomaterials,theranostics
Biomaterials for theranostics and tissue engineering,biomaterials,tissue engineering
Biomaterials for theranostics and tissue engineering,biomaterials,biomaterials
Biofabrication and groundbreaking applications of polymers of natural origin,biomaterials,polymers
Biofabrication and groundbreaking applications of polymers of natural origin,biomaterials,biofabrication
Biofabrication and groundbreaking applications of polymers of natural origin,biomaterials,natural polymers
Innovative immunotherapy applications in drug delivery and tissue engineering,biomaterials,drug delivery
Innovative immunotherapy applications in drug delivery and tissue engineering,biomaterials,tissue engineering
Innovative immunotherapy applications in drug delivery and tissue engineering,biomaterials,immunotherapy
Pharmacological advancements of novel natural-based nanomedicines,biomaterials,natural products
Pharmacological advancements of novel natural-based nanomedicines,biomaterials,nanomedicine
Pharmacological advancements of novel natural-based nanomedicines,biomaterials,pharmacology
"Tissue engineering and regenerative medicine: advances, controversies, and future directions",biomaterials,tissue engineering
"Tissue engineering and regenerative medicine: advances, controversies, and future directions",biomaterials,regenerative medicine
Musculoskeletal biomechanics and locomotion,biomechanics,musculoskeletal biomechanics
Musculoskeletal biomechanics and locomotion,biomechanics,locomotion
Comparative biomechanics,biomechanics,comparative biomechanics
Biomechanics of soft-bodied and flexible organisms,biomechanics,soft-bodied organism biomechanics
Biomechanics of soft-bodied and flexible organisms,biomechanics,flexible organism biomechanics
Insect biomechanics,biomechanics,insect biomechanics
Adaptation and evolutionary biomechanics,biomechanics,adaptation
Adaptation and evolutionary biomechanics,biomechanics,evolutionary biomechanics
Analysis of neural control adaptation to rehabilitation technologies,biomechanics,neural control
Optimal design of assistive technologies,biomechanics,assistive technologies
Analysis of sports movements and/or equipment to maximize performance,biomechanics,sports equipment
Ergonomics and human factors,biomechanics,human factors
Ergonomics and human factors,biomechanics,ergonomics
Human-robot interaction,biomechanics,human-robot interaction
Human-robot interaction,biomechanics,robotics
Animal locomotion,biomechanics,animal locomotion
Human-robot interaction,intelligent physical systems,human-robot interaction
1: cyber physical systems architecture,intelligent physical systems,cyber-physical systems
"2: threats, security and privacy for cyber physical systems",intelligent physical systems,privacy
"2: threats, security and privacy for cyber physical systems",intelligent physical systems,cyber-physical systems
"2: threats, security and privacy for cyber physical systems",intelligent physical systems,security
3: medical cyber physical systems and health,intelligent physical systems,health
4: networks and communication in cps,intelligent physical systems,communication
4: networks and communication in cps,intelligent physical systems,networks
4: networks and communication in cps,intelligent physical systems,cyber-physical systems
5: technologies and applications of cyber physical systems,intelligent physical systems,cyber-physical systems
Sensors networks and communication,intelligent physical systems,communication
Sensors networks and communication,intelligent physical systems,sensor networks
Interconnected systems,intelligent physical systems,systems engineering
Wireless sensor networks,intelligent physical systems,wireless sensor networks
Networked dynamical systems,intelligent physical systems,dynamical systems
Medical and health care applications,intelligent physical systems,medical informatics
Medical and health care applications,intelligent physical systems,health informatics
Smart city and smart world,intelligent physical systems,smart city
Environment monitoring,intelligent physical systems,environmental monitoring
Robotics and automation,intelligent physical systems,robotics
Robotics and automation,intelligent physical systems,automation
Intelligent robots,intelligent physical systems,robotics
Automation and control,intelligent physical systems,control theory
Automation and control,intelligent physical systems,automation
Man-machine systems,intelligent physical systems,human-computer interaction
Ai and cps applications in agriculture,intelligent physical systems,artificial intelligence
Ai and cps applications in agriculture,intelligent physical systems,cyber-physical systems
Oil and gas applications in ai and cps,intelligent physical systems,artificial intelligence
Oil and gas applications in ai and cps,intelligent physical systems,cyber-physical systems
Internet of industrial things (ioit) applications,intelligent physical systems,internet of things
Smart grid and energy,intelligent physical systems,smart grid
Military and defense systems,intelligent physical systems,defense systems
Smart devices for physically disabled persons,intelligent physical systems,assistive technology
Smart devices for physically disabled persons,intelligent physical systems,smart devices
Diagnosis systems,intelligent physical systems,diagnostic systems
Mathematical modeling of different cps applications,intelligent physical systems,mathematical modeling
Mathematical modeling of different cps applications,intelligent physical systems,cyber-physical systems
Integrated design methods for cps,intelligent physical systems,cyber-physical systems
Integrated design methods for cps,intelligent physical systems,design methods
Hw/sw co-design for cps,intelligent physical systems,software design
Hw/sw co-design for cps,intelligent physical systems,hardware design
Hw/sw co-design for cps,intelligent physical systems,cyber-physical systems
Simulation and emulation of cps,intelligent physical systems,emulation
Simulation and emulation of cps,intelligent physical systems,simulation
Simulation and emulation of cps,intelligent physical systems,cyber-physical systems
Integrated tool chains for cps,intelligent physical systems,software engineering
Integrated tool chains for cps,intelligent physical systems,cyber-physical systems
Scalable cps architectures,intelligent physical systems,cyber-physical systems
Scalable cps architectures,intelligent physical systems,computer architecture
"Composability of software, hardware and physical components",intelligent physical systems,hardware design
"Composability of software, hardware and physical components",intelligent physical systems,software engineering
Analysis of cyber-physical systems with multiple temporal and spatial scales,intelligent physical systems,cyber-physical systems
High-confidence and security in cps,intelligent physical systems,cyber-physical systems
High-confidence and security in cps,intelligent physical systems,security
Real-time systems,intelligent physical systems,real-time systems
System-level design methodology,intelligent physical systems,system design
Embedded systems design,intelligent physical systems,embedded systems
Internet of things architecture,intelligent physical systems,internet of things
Internet of things architecture,intelligent physical systems,system architecture
Iot interactions,intelligent physical systems,internet of things
Iot interactions,intelligent physical systems,interactions
Real-time applications of iot,intelligent physical systems,real-time systems
Real-time applications of iot,intelligent physical systems,internet of things
Industrial iot,intelligent physical systems,industrial internet of things
Intelligence and control of cps,intelligent physical systems,cyber-physical systems
Intelligence and control of cps,intelligent physical systems,control systems
Deep learning in cps,intelligent physical systems,deep learning
Deep learning in cps,intelligent physical systems,cyber-physical systems
Cyber-physical multimedia systems,intelligent physical systems,multimedia systems
Cyber-physical multimedia systems,intelligent physical systems,cyber-physical systems
Human-robot interaction,robotics,human-robot interaction
Human-robot interaction,robotics,robotics
Learning representations for robotic perception and control,robotics,machine learning
Learning representations for robotic perception and control,robotics,robotic perception
Learning representations for robotic perception and control,robotics,robotics
Learning representations for robotic perception and control,robotics,robot control
Learning robot foundation models or general-purpose knowledge systems for robotics,robotics,machine learning
Learning robot foundation models or general-purpose knowledge systems for robotics,robotics,robotics
Learning robot foundation models or general-purpose knowledge systems for robotics,robotics,knowledge systems
Learning robot foundation models or general-purpose knowledge systems for robotics,robotics,foundation models
"Imitation learning for robotics, e.g. by behavioral cloning and/or inverse reinforcement learning",robotics,robotics
"Imitation learning for robotics, e.g. by behavioral cloning and/or inverse reinforcement learning",robotics,behavioral cloning
"Imitation learning for robotics, e.g. by behavioral cloning and/or inverse reinforcement learning",robotics,inverse reinforcement learning
"Imitation learning for robotics, e.g. by behavioral cloning and/or inverse reinforcement learning",robotics,imitation learning
Reinforcement learning for control of physical robots,robotics,robot control
Reinforcement learning for control of physical robots,robotics,robotics
Reinforcement learning for control of physical robots,robotics,reinforcement learning
Model-based and model-free learning for robotic control and decision-making,robotics,robotics
Combination of learning- and planning-based approaches in robotics,robotics,planning
Combination of learning- and planning-based approaches in robotics,robotics,robotics
Probabilistic learning and representation of uncertainty in robotics,robotics,robotics
Automatic robotic data generation for learning methods in robotic,robotics,data generation
Automatic robotic data generation for learning methods in robotic,robotics,robotics
Learning for robot task and motion planning,robotics,motion planning
Learning for robot task and motion planning,robotics,robotics
"Learning for multimodal robot perception, sensor fusion, and robot vision",robotics,robot perception
"Learning for multimodal robot perception, sensor fusion, and robot vision",robotics,machine learning
"Learning for multimodal robot perception, sensor fusion, and robot vision",robotics,multimodal perception
"Learning for multimodal robot perception, sensor fusion, and robot vision",robotics,robot vision
"Learning for multimodal robot perception, sensor fusion, and robot vision",robotics,sensor fusion
"Robot systems, hardware, and sensors for learning and data-driven approaches",robotics,robot hardware
"Robot systems, hardware, and sensors for learning and data-driven approaches",robotics,machine learning
"Robot systems, hardware, and sensors for learning and data-driven approaches",robotics,robot systems
"Robot systems, hardware, and sensors for learning and data-driven approaches",robotics,robot sensors
"Assembly, logistics and manufacturing",robotics,manufacturing
"Assembly, logistics and manufacturing",robotics,logistics
"Assembly, logistics and manufacturing",robotics,assembly
"Assistive, entertainment and service robots",robotics,service robotics
"Assistive, entertainment and service robots",robotics,entertainment robotics
"Assistive, entertainment and service robots",robotics,assistive robotics
Autonomous vehicle navigation & mobile robots,robotics,mobile robotics
Autonomous vehicle navigation & mobile robots,robotics,autonomous vehicle navigation
Bioinspired robots,robotics,bioinspired robotics
Control & dynamics,robotics,control theory
Control & dynamics,robotics,dynamics
Cognitive modeling & knowledge representation for robots,robotics,cognitive modeling
Cognitive modeling & knowledge representation for robots,robotics,knowledge representation
"Field robotics (e.g., aerial, agricultural, construction, space, underwater robotics)",robotics,field robotics
Formal methods for robotics,robotics,formal methods
Formal methods for robotics,robotics,robotics
Robot learning: foundation models,robotics,foundation models
Robot learning: foundation models,robotics,robot learning
Robot learning: reinforcement learning,robotics,machine learning
Robot learning: reinforcement learning,robotics,robot learning
Robot learning: reinforcement learning,robotics,reinforcement learning
Robot learning: datasets and benchmarks,robotics,robot learning
Robot learning: datasets and benchmarks,robotics,datasets
Robot learning: datasets and benchmarks,robotics,benchmarks
Robot modeling & simulation,robotics,robot modeling
Robot modeling & simulation,robotics,robot simulation
"Robot perception, sensing & vision",robotics,robot perception
"Robot perception, sensing & vision",robotics,computer vision
"Robot perception, sensing & vision",robotics,robot sensing
Special issue on extended reality in robotics,robotics,extended reality
Special issue on extended reality in robotics,robotics,robotics
Special issue on robotics response for the covid-19 outbreak,robotics,robotics
Special issue on deep learning and machine learning in robotics,robotics,machine learning
Special issue on deep learning and machine learning in robotics,robotics,deep learning
Special issue on deep learning and machine learning in robotics,robotics,robotics
Special issue on wearable robotics,robotics,wearable robotics
Open call: special issue on the arts and robotics,robotics,robotics
Open call: special issue on the arts and robotics,robotics,arts
special issue on humanoid robots,robotics,humanoid robotics
"biomimetic perception, cognition, and control: from nature to robots",robotics,cognition
"biomimetic perception, cognition, and control: from nature to robots",robotics,biomimetics
"biomimetic perception, cognition, and control: from nature to robots",robotics,control systems
"biomimetic perception, cognition, and control: from nature to robots",robotics,perception
special issue on emerging paradigms for robotic manipulation: from the lab to the productive world,robotics,robotic manipulation
special issue on design optimization of soft robots,robotics,soft robotics
biomedical acoustics and ultrasounds,biomedical acoustics,ultrasound
"animal communication, biosonar, and associated behavior",biomedical acoustics,animal communication
"animal communication, biosonar, and associated behavior",biomedical acoustics,biosonar
sound production anatomy and neurophysiology of animals,biomedical acoustics,neurophysiology
sound production anatomy and neurophysiology of animals,biomedical acoustics,animal anatomy
"auditory capacities and mechanisms, anatomy, and neurophysiology of animals",biomedical acoustics,animal anatomy
"acoustic methods for use in population assessment, identification, and behavior",biomedical acoustics,animal behavior
"acoustic methods for use in population assessment, identification, and behavior",biomedical acoustics,population assessment
"acoustic methods for use in population assessment, identification, and behavior",biomedical acoustics,acoustic methods
Diagnostic and therapeutic applications of acoustics in medicine,biomedical acoustics,diagnostic acoustics
Diagnostic and therapeutic applications of acoustics in medicine,biomedical acoustics,therapeutic acoustics
Diagnostic and therapeutic applications of acoustics in medicine,biomedical acoustics,medical acoustics
Biological effects of exposure to mechanical vibration and acoustic waves,biomedical acoustics,acoustics
Biological effects of exposure to mechanical vibration and acoustic waves,biomedical acoustics,biological effects of vibration
Biological effects of exposure to mechanical vibration and acoustic waves,biomedical acoustics,biological effects of acoustic waves
Biological effects of exposure to mechanical vibration and acoustic waves,biomedical acoustics,mechanical vibration
Acoustic propagation in biological materials,biomedical acoustics,biological materials
Acoustic propagation in biological materials,biomedical acoustics,acoustic propagation
"Ultrasound field calibration, exposimetry and dosimetry",biomedical acoustics,ultrasound calibration
"Ultrasound field calibration, exposimetry and dosimetry",biomedical acoustics,dosimetry
"Ultrasound field calibration, exposimetry and dosimetry",biomedical acoustics,exposimetry
Ultrasound contrast agents,biomedical acoustics,ultrasound contrast agents
Diagnostic microbiology,biomedical analysis,diagnostic microbiology
Diagnostic microbiology,biomedical analysis,microbiology
Disease diagnosis,biomedical analysis,disease diagnosis
Medical instrumentation,biomedical analysis,medical instrumentation
Radiology and radioactive techniques procedure,biomedical analysis,radiology
Ultrasound,biomedical analysis,ultrasound
Hanning fir window filtering analysis for eeg signals,biomedical analysis,signal processing
Hanning fir window filtering analysis for eeg signals,biomedical analysis,electroencephalography
Triplex real-time quantitative fluorescence pcr method for detecting drug resistance genes,biomedical analysis,polymerase chain reaction
Advances in the molecular diagnostic methods for circular rna,biomedical analysis,molecular diagnostics
Advances in the molecular diagnostic methods for circular rna,biomedical analysis,rna biology
Engineered exosome-based drug delivery system for synergistic cancer therapy,biomedical analysis,drug delivery
Engineered exosome-based drug delivery system for synergistic cancer therapy,biomedical analysis,cancer therapy
Medical instrumentation,medical instrumentation,medical instrumentation
Medical electronics,medical instrumentation,medical electronics
Imaging technologies,medical instrumentation,medical imaging
Biosensor technology for wearable applications,medical instrumentation,biosensors
Biosensor technology for wearable applications,medical instrumentation,wearable technology
Device-on-chip solutions in biosensing,medical instrumentation,biosensors
Device-on-chip solutions in biosensing,medical instrumentation,microfabrication
Flexible and stretchable electronics for biosensors,medical instrumentation,biosensors
Flexible and stretchable electronics for biosensors,medical instrumentation,flexible electronics
Flexible and stretchable electronics for biosensors,medical instrumentation,stretchable electronics
Nanomaterials for enhanced biosensing,medical instrumentation,nanomaterials
Implanted biosensors,medical instrumentation,biosensors
Implanted biosensors,medical instrumentation,implantable devices
medical physics,medical instrumentation,medical physics
computational and data science in medicine,medical instrumentation,computational science
computational and data science in medicine,medical instrumentation,data science
medical images,medical instrumentation,medical imaging
medical data analytics,medical instrumentation,medical data analytics
data processing on biosensors,medical instrumentation,biosensors
data processing on biosensors,medical instrumentation,data processing
Integration of artificial intelligence with biosensors,medical instrumentation,biosensors
Integration of artificial intelligence with biosensors,medical instrumentation,artificial intelligence
ultrasound,spondyloarthritis,medical imaging
biomarkers,spondyloarthritis,biomarkers
Graph representations and algorithms in biomedicine (psb 2023),biomedical artificial intelligence,algorithms
Graph representations and algorithms in biomedicine (psb 2023),biomedical artificial intelligence,graph theory
Trustworthy ai for healthcare (aaai 2022),biomedical artificial intelligence,artificial intelligence
Trustworthy ai for healthcare (aaai 2022),biomedical artificial intelligence,healthcare
Ai in health: transferring and integrating knowledge for better health (the web conference 2021),biomedical artificial intelligence,artificial intelligence
Ai in health: transferring and integrating knowledge for better health (the web conference 2021),biomedical artificial intelligence,health informatics
Machine learning for drug development (ijcai 2021),biomedical artificial intelligence,machine learning
Machine learning for drug development (ijcai 2021),biomedical artificial intelligence,drug development
Deep learning for network biology (ismb 2018),biomedical artificial intelligence,deep learning
Deep learning for network biology (ismb 2018),biomedical artificial intelligence,network biology
biomedical data fusion (embc and [bc]^2 2015),biomedical artificial intelligence,biomedical data
biomedical data fusion (embc and [bc]^2 2015),biomedical artificial intelligence,data fusion
towards precision medicine with graph representation learning (ismb 2022),biomedical artificial intelligence,precision medicine
towards precision medicine with graph representation learning (ismb 2022),biomedical artificial intelligence,graph representation learning
Quantitative approaches in spatial multi-omics for guiding personalized medicine,biomedical data science,spatial omics
Quantitative approaches in spatial multi-omics for guiding personalized medicine,biomedical data science,personalized medicine
Ai in biomedical imaging:,biomedical imaging,artificial intelligence
Ai in biomedical imaging:,biomedical imaging,biomedical imaging
Applications of ai in chemical and biomedical imaging and emerging ai techniques:,biomedical imaging,artificial intelligence
Applications of ai in chemical and biomedical imaging and emerging ai techniques:,biomedical imaging,chemical imaging
Applications of ai in chemical and biomedical imaging and emerging ai techniques:,biomedical imaging,biomedical imaging
Ai for detecting and diagnosing diseases through advanced imaging techniques,biomedical imaging,artificial intelligence
Ai for detecting and diagnosing diseases through advanced imaging techniques,biomedical imaging,disease diagnosis
Ai for detecting and diagnosing diseases through advanced imaging techniques,biomedical imaging,biomedical imaging
Ai-driven imaging for monitoring and evaluating treatment efficacy,biomedical imaging,artificial intelligence
Ai-driven imaging for monitoring and evaluating treatment efficacy,biomedical imaging,biomedical imaging
Ai-driven imaging for monitoring and evaluating treatment efficacy,biomedical imaging,treatment evaluation
Ai applications in imaging for drug discovery and development,biomedical imaging,artificial intelligence
Ai applications in imaging for drug discovery and development,biomedical imaging,drug discovery
Ai applications in imaging for drug discovery and development,biomedical imaging,biomedical imaging
Ai-enhanced imaging for studying cellular and molecular processes,biomedical imaging,artificial intelligence
Ai-enhanced imaging for studying cellular and molecular processes,biomedical imaging,cell biology
Ai-enhanced imaging for studying cellular and molecular processes,biomedical imaging,molecular biology
Ai in imaging for tissue engineering and regenerative medicine,biomedical imaging,artificial intelligence
Ai in imaging for tissue engineering and regenerative medicine,biomedical imaging,tissue engineering
Ai in imaging for tissue engineering and regenerative medicine,biomedical imaging,regenerative medicine
Novel ai algorithms and models for imaging applications,biomedical imaging,artificial intelligence
Novel ai algorithms and models for imaging applications,biomedical imaging,imaging
Ai-driven multi-modal imaging and data fusion techniques,biomedical imaging,artificial intelligence
Ai-driven multi-modal imaging and data fusion techniques,biomedical imaging,multi-modal imaging
Ai-driven multi-modal imaging and data fusion techniques,biomedical imaging,data fusion
Ai for enhancing imaging data interpretation and visualization,biomedical imaging,artificial intelligence
Ai for enhancing imaging data interpretation and visualization,biomedical imaging,visualization
Deep learning architectures and techniques,deep learning,deep learning
Image and video synthesis and generation,deep learning,video generation
Image and video synthesis and generation,deep learning,image synthesis
Multimodal learning,deep learning,multimodal learning
"Recognition: categorization, detection, retrieval",deep learning,object detection
"Recognition: categorization, detection, retrieval",deep learning,information retrieval
"Recognition: categorization, detection, retrieval",deep learning,pattern recognition
"Segmentation, grouping and shape analysis",deep learning,shape analysis
"Segmentation, grouping and shape analysis",deep learning,image segmentation
"Self-, semi-, meta- and unsupervised learning",deep learning,unsupervised learning
"Self-, semi-, meta- and unsupervised learning",deep learning,meta-learning
"Self-, semi-, meta- and unsupervised learning",deep learning,self-supervised learning
"Self-, semi-, meta- and unsupervised learning",deep learning,semi-supervised learning
Transfer/ low-shot/ continual/ long-tail learning,deep learning,continual learning
Transfer/ low-shot/ continual/ long-tail learning,deep learning,long-tail learning
Transfer/ low-shot/ continual/ long-tail learning,deep learning,low-shot learning
Transfer/ low-shot/ continual/ long-tail learning,deep learning,transfer learning
Video: action and event understanding,deep learning,event understanding
Video: action and event understanding,deep learning,action recognition
"Video: low-level analysis, motion, and tracking",deep learning,object tracking
"Video: low-level analysis, motion, and tracking",deep learning,motion analysis
"Video: low-level analysis, motion, and tracking",deep learning,video analysis
Vision + graphics,deep learning,computer graphics
Vision + graphics,deep learning,computer vision
"Vision, language, and reasoning",deep learning,natural language processing
"Vision, language, and reasoning",deep learning,computer vision
"Deep learning (architectures, generative models, theory, etc.)",deep learning,deep learning
"Deep learning (architectures, generative models, theory, etc.)",deep learning,machine learning theory
"Deep learning (architectures, generative models, theory, etc.)",deep learning,generative models
Unsupervised deep learning and representation learning,deep learning,unsupervised learning
Unsupervised deep learning and representation learning,deep learning,representation learning
Reinforcement learning for code,deep learning,machine learning
Reinforcement learning for code,deep learning,reinforcement learning
Pre-training methods and representation for code,deep learning,representation learning
Pre-training methods and representation for code,deep learning,machine learning
Pre-training methods and representation for code,deep learning,pre-training
Scene analysis and understanding,deep learning,scene analysis
Scene analysis and understanding,deep learning,computer vision
Segmentation of medical images,deep learning,medical image analysis
Segmentation of medical images,deep learning,image segmentation
Learning-based image registration,deep learning,machine learning
Learning-based image registration,deep learning,image registration
Transfer learning and domain adaptation,deep learning,machine learning
Transfer learning and domain adaptation,deep learning,domain adaptation
Transfer learning and domain adaptation,deep learning,transfer learning
Learning with noisy labels and limited data,deep learning,machine learning
Interpretability and explainable ai,deep learning,interpretability
Interpretability and explainable ai,deep learning,artificial intelligence
Interpretability and explainable ai,deep learning,explainable artificial intelligence
Foundation models for medical imaging,deep learning,foundation models
Foundation models for medical imaging,deep learning,medical imaging
Generative ai for medical imaging,deep learning,medical imaging
Generative ai for medical imaging,deep learning,generative artificial intelligence
Federate learning for medical imaging,deep learning,medical imaging
Federate learning for medical imaging,deep learning,federated learning
Safe and trustworthy learning-assisted solutions for medical imaging,deep learning,trustworthy artificial intelligence
Safe and trustworthy learning-assisted solutions for medical imaging,deep learning,safe artificial intelligence
Safe and trustworthy learning-assisted solutions for medical imaging,deep learning,medical imaging
Unsupervised deep learning and representation learning,image analysis,representation learning
Unsupervised deep learning and representation learning,image analysis,deep learning
Segmentation of medical images,image analysis,medical image segmentation
Learning-based image registration,image analysis,image registration
Transfer learning and domain adaptation,image analysis,domain adaptation
Transfer learning and domain adaptation,image analysis,transfer learning
Learning with noisy labels and limited data,image analysis,machine learning
Learning with noisy labels and limited data,image analysis,learning with noisy labels
Learning with noisy labels and limited data,image analysis,limited data learning
Uncertainty quantification,image analysis,uncertainty quantification
Interpretability and explainable ai,image analysis,interpretability
Interpretability and explainable ai,image analysis,artificial intelligence
Interpretability and explainable ai,image analysis,explainable artificial intelligence
Foundation models for medical imaging,image analysis,foundation models
Foundation models for medical imaging,image analysis,medical imaging
Generative ai for medical imaging,image analysis,medical imaging
Generative ai for medical imaging,image analysis,generative artificial intelligence
Federate learning for medical imaging,image analysis,medical imaging
Federate learning for medical imaging,image analysis,federated learning
Safe and trustworthy learning-assisted solutions for medical imaging,image analysis,machine learning
Safe and trustworthy learning-assisted solutions for medical imaging,image analysis,medical imaging
Integration of prior medical knowledge into deep learning models for medical image analysis,image analysis,deep learning
Integration of prior medical knowledge into deep learning models for medical image analysis,image analysis,medical image analysis
Integration of prior medical knowledge into deep learning models for medical image analysis,image analysis,medical knowledge
1: image analysis and understanding,image analysis,image understanding
1: image analysis and understanding,image analysis,image analysis
▪ document image analysis,image analysis,document image analysis
Explainable/interpretable deep learning models for medical image computing,image analysis,deep learning
Explainable/interpretable deep learning models for medical image computing,image analysis,interpretable machine learning
Explainable/interpretable deep learning models for medical image computing,image analysis,medical image computing
Explainable/interpretable deep learning models for medical image computing,image analysis,explainable artificial intelligence
Learning interpretable knowledge from unannotated/annotated medical images,image analysis,interpretable machine learning
Learning interpretable knowledge from unannotated/annotated medical images,image analysis,medical image analysis
Explainable deep learning networks for computer-aided diagnosis from medical images,image analysis,deep learning
Explainable deep learning networks for computer-aided diagnosis from medical images,image analysis,medical image analysis
Explainable deep learning networks for computer-aided diagnosis from medical images,image analysis,explainable artificial intelligence
Explainable deep learning networks for computer-aided diagnosis from medical images,image analysis,computer-aided diagnosis
Generalizable deep learning methods when the training medical image datasets are small,image analysis,deep learning
Generalizable deep learning methods when the training medical image datasets are small,image analysis,medical image analysis
Generalizable deep learning methods in cases of images with potential domain shift,image analysis,deep learning
Generalizable deep learning methods in cases of images with potential domain shift,image analysis,domain adaptation
Generalizable deep learning methods in cases of images with potential domain shift,image analysis,image analysis
Out-of-distribution detection methods when applying a model to novel data not previously trained on,image analysis,out-of-distribution detection
Out-of-distribution detection methods when applying a model to novel data not previously trained on,image analysis,machine learning
"Generalizable models for images from multi-centers, multi-modalities, multi-diseases or multi-organs",image analysis,machine learning
"Generalizable models for images from multi-centers, multi-modalities, multi-diseases or multi-organs",image analysis,medical imaging
▪ object detection and recognition,image analysis,object detection
▪ object detection and recognition,image analysis,computer vision
▪ scene understanding,image analysis,scene understanding
▪ scene understanding,image analysis,computer vision
▪ image captioning,image analysis,natural language processing
▪ image captioning,image analysis,image captioning
▪ image captioning,image analysis,computer vision
detection and estimation of signal parameters,image analysis,signal processing
perceptual grouping,image analysis,visual perception
shape representation,image analysis,shape analysis
visual question answering,image analysis,visual question answering
visual question answering,image analysis,computer vision
image acquisition,image analysis,image acquisition
image segmentation,image analysis,image segmentation
image formation,image analysis,image formation
"image scanning, display, and printing",image analysis,image scanning
image-based modeling,image analysis,image-based modeling
image-based rendering,image analysis,image rendering
pattern recognition in new modalities,image analysis,pattern recognition
Based image retrieval,image analysis,image retrieval
Resolution imaging,image analysis,imaging
"Resolution, and mosaicing",image analysis,image mosaicing
D and surface reconstruction,image analysis,surface reconstruction
View geometry,image analysis,view geometry
Image acquisition and reconstruction,image analysis,image acquisition
Image acquisition and reconstruction,image analysis,image reconstruction
